N,α,nD,n_max,fraction_of_successful_runs
20,0.5,50,100,1.0
20,0.75,50,100,1.0
20,1.0,50,100,1.0
20,1.25,50,100,0.98
20,1.5,50,100,0.92
20,1.75,50,100,0.56
20,2.0,50,100,0.28
20,2.25,50,100,0.1
20,2.5,50,100,0.02
20,2.75,50,100,0.0
20,3.0,50,100,0.0
20,3.25,50,100,0.0
20,3.5,50,100,0.0
20,3.75,50,100,0.0
20,4.0,50,100,0.0
20,4.25,50,100,0.0
40,0.5,50,100,1.0
40,0.75,50,100,1.0
40,1.0,50,100,1.0
40,1.25,50,100,1.0
40,1.5,50,100,0.88
40,1.75,50,100,0.36
40,2.0,50,100,0.1
40,2.25,50,100,0.0
40,2.5,50,100,0.0
40,2.75,50,100,0.0
40,3.0,50,100,0.0
40,3.25,50,100,0.0
40,3.5,50,100,0.0
40,3.75,50,100,0.0
40,4.0,50,100,0.0
40,4.25,50,100,0.0
