N,α,nD,n_max,fraction_of_successful_runs
100,0.5,5000,100,1.0
100,0.505,5000,100,1.0
100,0.51,5000,100,1.0
100,0.515,5000,100,1.0
100,0.52,5000,100,1.0
100,0.525,5000,100,1.0
100,0.53,5000,100,1.0
100,0.535,5000,100,1.0
100,0.54,5000,100,1.0
100,0.545,5000,100,1.0
100,0.55,5000,100,1.0
100,0.555,5000,100,1.0
100,0.56,5000,100,1.0
100,0.5650000000000001,5000,100,1.0
100,0.5700000000000001,5000,100,1.0
100,0.5750000000000001,5000,100,1.0
100,0.5800000000000001,5000,100,1.0
100,0.5850000000000001,5000,100,1.0
100,0.5900000000000001,5000,100,1.0
100,0.5950000000000001,5000,100,1.0
100,0.6000000000000001,5000,100,1.0
100,0.6050000000000001,5000,100,1.0
100,0.6100000000000001,5000,100,1.0
100,0.6150000000000001,5000,100,1.0
100,0.6200000000000001,5000,100,1.0
100,0.6250000000000001,5000,100,1.0
100,0.6300000000000001,5000,100,1.0
100,0.6350000000000001,5000,100,1.0
100,0.6400000000000001,5000,100,1.0
100,0.6450000000000001,5000,100,1.0
100,0.6500000000000001,5000,100,1.0
100,0.6550000000000001,5000,100,1.0
100,0.6600000000000001,5000,100,1.0
100,0.6650000000000001,5000,100,1.0
100,0.6700000000000002,5000,100,1.0
100,0.6750000000000002,5000,100,1.0
100,0.6800000000000002,5000,100,1.0
100,0.6850000000000002,5000,100,1.0
100,0.6900000000000002,5000,100,1.0
100,0.6950000000000002,5000,100,1.0
100,0.7000000000000002,5000,100,1.0
100,0.7050000000000002,5000,100,1.0
100,0.7100000000000002,5000,100,1.0
100,0.7150000000000002,5000,100,1.0
100,0.7200000000000002,5000,100,1.0
100,0.7250000000000002,5000,100,1.0
100,0.7300000000000002,5000,100,1.0
100,0.7350000000000002,5000,100,1.0
100,0.7400000000000002,5000,100,1.0
100,0.7450000000000002,5000,100,1.0
100,0.7500000000000002,5000,100,1.0
100,0.7550000000000002,5000,100,1.0
100,0.7600000000000002,5000,100,1.0
100,0.7650000000000002,5000,100,1.0
100,0.7700000000000002,5000,100,1.0
100,0.7750000000000002,5000,100,1.0
100,0.7800000000000002,5000,100,1.0
100,0.7850000000000003,5000,100,1.0
100,0.7900000000000003,5000,100,1.0
100,0.7950000000000003,5000,100,1.0
100,0.8000000000000003,5000,100,1.0
100,0.8050000000000003,5000,100,1.0
100,0.8100000000000003,5000,100,1.0
100,0.8150000000000003,5000,100,1.0
100,0.8200000000000003,5000,100,1.0
100,0.8250000000000003,5000,100,1.0
100,0.8300000000000003,5000,100,1.0
100,0.8350000000000003,5000,100,1.0
100,0.8400000000000003,5000,100,1.0
100,0.8450000000000003,5000,100,1.0
100,0.8500000000000003,5000,100,1.0
100,0.8550000000000003,5000,100,1.0
100,0.8600000000000003,5000,100,1.0
100,0.8650000000000003,5000,100,1.0
100,0.8700000000000003,5000,100,1.0
100,0.8750000000000003,5000,100,1.0
100,0.8800000000000003,5000,100,1.0
100,0.8850000000000003,5000,100,1.0
100,0.8900000000000003,5000,100,1.0
100,0.8950000000000004,5000,100,1.0
100,0.9000000000000004,5000,100,1.0
100,0.9050000000000004,5000,100,1.0
100,0.9100000000000004,5000,100,1.0
100,0.9150000000000004,5000,100,1.0
100,0.9200000000000004,5000,100,1.0
100,0.9250000000000004,5000,100,1.0
100,0.9300000000000004,5000,100,1.0
100,0.9350000000000004,5000,100,1.0
100,0.9400000000000004,5000,100,1.0
100,0.9450000000000004,5000,100,1.0
100,0.9500000000000004,5000,100,1.0
100,0.9550000000000004,5000,100,1.0
100,0.9600000000000004,5000,100,1.0
100,0.9650000000000004,5000,100,1.0
100,0.9700000000000004,5000,100,1.0
100,0.9750000000000004,5000,100,1.0
100,0.9800000000000004,5000,100,1.0
100,0.9850000000000004,5000,100,1.0
100,0.9900000000000004,5000,100,1.0
100,0.9950000000000004,5000,100,1.0
100,1.0000000000000004,5000,100,1.0
100,1.0050000000000003,5000,100,1.0
100,1.0100000000000005,5000,100,1.0
100,1.0150000000000006,5000,100,1.0
100,1.0200000000000005,5000,100,1.0
100,1.0250000000000004,5000,100,1.0
100,1.0300000000000005,5000,100,1.0
100,1.0350000000000006,5000,100,1.0
100,1.0400000000000005,5000,100,1.0
100,1.0450000000000004,5000,100,1.0
100,1.0500000000000005,5000,100,1.0
100,1.0550000000000006,5000,100,1.0
100,1.0600000000000005,5000,100,1.0
100,1.0650000000000004,5000,100,1.0
100,1.0700000000000005,5000,100,1.0
100,1.0750000000000006,5000,100,1.0
100,1.0800000000000005,5000,100,1.0
100,1.0850000000000004,5000,100,1.0
100,1.0900000000000005,5000,100,1.0
100,1.0950000000000006,5000,100,1.0
100,1.1000000000000005,5000,100,1.0
100,1.1050000000000004,5000,100,1.0
100,1.1100000000000005,5000,100,1.0
100,1.1150000000000007,5000,100,1.0
100,1.1200000000000006,5000,100,1.0
100,1.1250000000000004,5000,100,1.0
100,1.1300000000000006,5000,100,1.0
100,1.1350000000000007,5000,100,1.0
100,1.1400000000000006,5000,100,1.0
100,1.1450000000000005,5000,100,1.0
100,1.1500000000000006,5000,100,1.0
100,1.1550000000000007,5000,100,1.0
100,1.1600000000000006,5000,100,1.0
100,1.1650000000000005,5000,100,1.0
100,1.1700000000000006,5000,100,0.9998
100,1.1750000000000007,5000,100,1.0
100,1.1800000000000006,5000,100,1.0
100,1.1850000000000005,5000,100,1.0
100,1.1900000000000006,5000,100,1.0
100,1.1950000000000007,5000,100,1.0
100,1.2000000000000006,5000,100,1.0
100,1.2050000000000005,5000,100,0.9998
