N,α,nD,n_max,fraction_of_successful_runs
1000,0.5,100,100,1.0
1000,0.51,100,100,1.0
1000,0.52,100,100,1.0
1000,0.53,100,100,1.0
1000,0.54,100,100,1.0
1000,0.55,100,100,1.0
1000,0.56,100,100,1.0
1000,0.5700000000000001,100,100,1.0
1000,0.5800000000000001,100,100,1.0
1000,0.5900000000000001,100,100,1.0
1000,0.6000000000000001,100,100,1.0
1000,0.6100000000000001,100,100,1.0
1000,0.6200000000000001,100,100,1.0
1000,0.6300000000000001,100,100,1.0
1000,0.6400000000000001,100,100,1.0
1000,0.6500000000000001,100,100,1.0
1000,0.6600000000000001,100,100,1.0
1000,0.6700000000000002,100,100,1.0
1000,0.6800000000000002,100,100,1.0
1000,0.6900000000000002,100,100,1.0
1000,0.7000000000000002,100,100,1.0
1000,0.7100000000000002,100,100,1.0
1000,0.7200000000000002,100,100,1.0
1000,0.7300000000000002,100,100,1.0
1000,0.7400000000000002,100,100,1.0
1000,0.7500000000000002,100,100,1.0
1000,0.7600000000000002,100,100,1.0
1000,0.7700000000000002,100,100,1.0
1000,0.7800000000000002,100,100,1.0
1000,0.7900000000000003,100,100,1.0
1000,0.8000000000000003,100,100,1.0
1000,0.8100000000000003,100,100,1.0
1000,0.8200000000000003,100,100,1.0
1000,0.8300000000000003,100,100,1.0
1000,0.8400000000000003,100,100,1.0
1000,0.8500000000000003,100,100,1.0
1000,0.8600000000000003,100,100,1.0
1000,0.8700000000000003,100,100,1.0
1000,0.8800000000000003,100,100,1.0
1000,0.8900000000000003,100,100,1.0
1000,0.9000000000000004,100,100,1.0
1000,0.9100000000000004,100,100,1.0
1000,0.9200000000000004,100,100,1.0
1000,0.9300000000000004,100,100,1.0
1000,0.9400000000000004,100,100,1.0
1000,0.9500000000000004,100,100,1.0
1000,0.9600000000000004,100,100,1.0
1000,0.9700000000000004,100,100,1.0
1000,0.9800000000000004,100,100,1.0
1000,0.9900000000000004,100,100,1.0
1000,1.0000000000000004,100,100,1.0
1000,1.0100000000000005,100,100,1.0
1000,1.0200000000000005,100,100,1.0
